"Artist","Album","hof_num","Label","rel_date"
"Sick of It All","Scratch the Surface","dB HoF No. 92","Label: Eastwest","Release date: 1994"
"Isis","Oceanic","dB HoF No. 91","Label: Ipecac","Release date: 2002"
"Nuclear Death","Bride of Insect","dB HoF No. 90","Label: Wild Rags","Release date: 1990"
"Dying Fetus","Destroy the Opposition","dB HoF No. 89","Label: Relapse","Release date: 2000"
"Unsane","Scattered, Smothered & Covered","dB HoF No. 88","Label: Amphetamine Reptile","Release date: 1995"
"Megadeth","Rust In Peace","dB HoF No. 87","Label: Capitol Records","Release date: 1990"
"Deceased","Fearless Undead Machines","dB HoF No. 86","Label: Relapse","Release date: 1997"
"Overkill","The Years of Decay","dB HoF No. 85","Label: Megaforce","Release date: 1989"
"King Diamond","Abigail","dB HoF No. 84","Label: Roadrunner","Release date: 1987"
"Cryptopsy","None So Vile","dB HoF No. 83","Label: Wrong Again","Release date: 1996"
"Tragedy","Tragedy","dB HoF No. 82","Label: Tragedy Records","Release date: 2000"
"Ministry","The Mind Is a Terrible Thing to Taste","dB HoF No. 81","Label: EMI","Release date: 1988"
"Queensrÿche","Operation: Mindcrime","dB HoF No. 80","Label: EMI","Release date: 1988"
"Rorschach","Protestant","dB HoF No. 79","Label: Gern Blandsten","Release date: 1993"
"Cradle of Filth","The Principle of Evil Made Flesh","dB HoF No. 78","Label: Cacophonous","Release date: 1994"
"Coroner","No more Color","dB HoF No. 77","Label: Noise","Release date: 1989"
"Killing Joke","Killing Joke","dB HoF No. 76","Label: E.G. Records","Release date: 1980"
"Burzum","Filosofem","dB HoF No. 75","Label: Misanthropy","Release date: 1996"
"Obituary","Cause of Death","dB HoF No.","Label: Roadrunner","Release date: September 19, 1990"
"The Jesus Lizard","Goat","dB HoF No. 73","Label: Touch & Go","Release date: 1991"
"Corrosion of Conformity","Animosity","dB HoF No. 72","Label: Death/Metal Blade","Release date: 1985"
"Satyricon","Nemesis Divina","dB HoF No. 71","Label: Moonfog","Release date: 1996"
"Venom","Welcome to Hell","dB HoF No. 70","Label: Neat","Release date: 1981"
"Angel Witch","Angel Witch","dB HoF No. 69","Label: Bronze","Release date: 1980"
"Amorphis","Tales From the Thousand Lakes","dB HoF No. 68","Label: Relapse","Release date: 1994"
"Refused","The Shape of Punk to Come","dB HoF No. 67","Label: Burning Heart","Release date: 1998"
"Dismember","Like an Ever Flowing Stream","dB HoF No. 66","Label: Nuclear Blast","Release date: May 29, 1991"
"Type O Negative","Bloody Kisses","dB HoF No. 65","Label: Roadrunner","Release date: 1993"
"Pentagram","Relentless","dB HoF No. 64","Label: Pentagram; reissue label: Peaceville","Release date: 1985; reissued: 1993"
"Motörhead","Ace of Spades","dB HoF No. 63","Label: Bronze","Release date: November 1980"
"Dark Tranquillity","The Gallery","dB HoF No. 62","Label: Osmose Productions","Release date: November 27, 1995"
"Saint Vitus","Born Too Late","dB HoF No. 61","Label: SST","Release date: 1987"
"Enslaved","Frost","dB HoF No. 60","Label: Osmose","Release date: 1994"
"Watchtower","Control and Resistance","dB HoF No. 59","Label: Noise","Release date: November 1989"
"Trouble","Psalm 9","dB HoF No. 58","Label: Metal Blade","Release date: 1984"
"Accept","Restless and Wild","dB HoF No. 57","Label: Brain","Release date: October 1982"
"Cynic","Focus","dB HoF No. 56","Label: Roadrunner","Release date: 1993"
"D.R.I.","Dealing With It","dB HoF No. 55","Label: Death/Metal Blade","Release date: March 1985"
"Judge","Bringin’ It Down","dB HoF No. 54","Label: Revelation","Release date: 1989"
"S.O.D.","Speak English or Die","dB HoF No. 53","Label: Megaforce","Release date: December 1985"
"Nile","Amongst the Catacombs of Nephren-Ka","dB HoF No. 52","Label: Relapse","Release date: 1998"
"Suffocation","Effigy of the Forgotten","dB HoF No. 51","Label: Roadrunner","Release date: 1991"
"Autopsy","Mental Funeral","dB HoF No. 50","Label: Peaceville","Release date: 1991"
"Discordance Axis","The Inalienable Dreamless","dB HoF No. 49","Label: Hydra Head","Release date: August 2000"
"Incantation","Onward to Golgotha","dB HoF No. 48","Label: Hydra Head","Release date: August 2000"
"Candlemass","Nightfall","dB HoF No. 47","Label: Active","Release date: November 1987"
"Metallica","… And Justice for All","dB HoF No. 46","Label: Elektra","Release date: August 25, 1988"
"Kyuss","Welcome to Sky Valley","dB HoF No. 45","Label: Elektra","Release date: June 1994"
"Testament","The Legacy","dB HoF No. 44","Label: Megaforce","Release date: 1987"
"Black Sabbath","Heaven and Hell","dB HoF No. 43","Label: Warner Bros.","Release date: April 25, 1980"
"Repulsion","Horrified","dB HoF No. 42","Label: Necrosis","Release date: 1989"
"Down","NOLA","dB HoF No. 41","Label: East West","Release date: Sept. 19, 1995"
"Cannibal Corpse","Tomb of the Mutilated","dB HoF No. 40","Label: Metal Blade","Release date: September 1992"
"Napalm Death","Scum","dB HoF No. 39","Label: Earache","Release date: July 1, 1987"
"Mastodon","Remission","dB HoF No. 38","Label: Relapse","Release date: May 2002"
"Coalesce","0:12 Revolution in Just Listening","dB HoF No. 37","Label: Relapse","Release date: September 1999"
"Opeth","Orchid","dB HoF No. 36","Label: Candlelight","Release date: May 1995"
"Converge","Jane Doe","dB HoF No. 35","Label: Equal Vision","Release date: 2001"
"Diamond Head","Lightning to the Nations","dB HoF No. 34","Label: Happy Face","Release date: 1980"
"Katatonia","Brave Murder Day","dB HoF No. 33","Label: Avantgarde","Release date: July 1996"
"Immortal","At the Heart of Winter","dB HoF No. 32","Label: Osmose","Release date: 1999"
"Electric Wizard","Dopethrone","dB HoF No. 31","Label: Rise Above","Release date: 2000"
"Bad Brains","Bad Brains","dB HoF No. 30","Label: ROIR","Release date: February 1982"
"Cave In","Until Your Heart Stops","dB HoF No. 29","Label: Hydra Head","Release date: 1998"
"Quicksand","Slip","dB HoF No. 28","Label: Polydor","Release date: February 9, 1993"
"Cryptic Slaughter","Money Talks","dB HoF No. 26","Label: Death","Release date: 1987"
"Darkthrone","A Blaze in the Northern Sky","dB HoF No. 25","Label: Peaceville","Release date: 1991"
"Celtic Frost","Morbid Tales","dB HoF No. 24","Label: Noise","Release date: 1984"
"Only Living Witness","Prone Mortal Form","dB HoF No. 23","Label: Century Media","Release date: June 1993"
"The Dillinger Escape Plan","Calculating Infinity","dB HoF No. 22","Label: Relapse","Release date: Sept. 28, 1999"
"Meshuggah","Destroy Erase Improve","dB HoF No. 21","Label: Nuclear Blast","Release date: July 25, 1995"
"Monster Magnet","Dopes to Infinity","dB HoF No. 20","Label: A&M","Release date: March 21, 1995"
"Rollins Band","The End of Silence","dB HoF No. 19","Label: Imago","Release date: February 25, 1992"
"Brutal Truth","Need to Control","dB HoF No. 18","Label: Earache","Release date: October 25, 1994"
"Deadguy","Fixation on a Coworker","dB HoF No. 17","Label: Victory","Release date: 1995"
"Eyehategod","Take as Needed for Pain","dB HoF No. 16","Label: Century Media","Release date: 1993"
"My Dying Bride","Turn Loose the Swans","dB HoF No. 15","Label: Peaceville","Release date: 1993"
"Morbid Angel","Altars of Madness","dB HoF No. 14","Label: Earache","Release date: 1989"
"Sleep","Jerusalem","dB HoF No. 13","Label: The Music Cartel","Release date: 1998"
"Cathedral","Forest of Equilibrium","dB HoF No. 12","Label: Earache","Release date: 1991"
"Emperor","In the Nightside Eclipse","dB HoF No. 11","Label: Candlelight","Release date: 1995"
