norm_to_update,current
Kurokuma,Kurokuma
Kylesa,Kylesa
Labrat,Labrat
Lantlôs,Lantlôs
Latitudes,Latitudes
Led Zeppelin,Led Zeppelin
Leeched,Leeched
Legion of Andromeda,Legion of Andromeda
Leonard Cohen,Leonard Cohen
Leprous,Leprous
Les Discrets,Les Discrets
Life of Agony,Life Of Agony
Lil' Boots,Lil' Boots
Lion,Lion
Lisa Gerrard,Lisa Gerrard
Lisa Gerrard & Pieter Bourke,Lisa Gerrard & Pieter Bourke
Live,Live
LLNN,LLNN
LockUp,LockUp
Locrian,Locrain
Locrian,Locrian
Lord Dying,Lord Dying
Lords of Acid,Lords of Acid
Lori Carson & Graeme Revell,Lori Carson & Graeme Revell
Lucifers Corpus,Lucifers Corpus
Luddite Clone,Luddite Clone
Ludicra,Ludicra
M83,M83
Machine Head,Machine Head
Mahavishnu Orchestra,Mahavishnu Orchestra
Mahavishnu Orchestra,Mahavishnu Orchestra with The London Symphony Orchestra
Manatees,Manatees
Manes,Manes
Man Must Die,Man Must Die
Mansun & 808 State,Mansun & 808 State
Manzanita,Manzanita
Marduk,Marduk
Marilyn Manson,Marilyn Manson
Marilyn Manson & Sneaker Pimps,Marilyn Manson & Sneaker Pimps
Mark Isham,Mark Isham
Maschine,Maschine
Mass Effect,Mass Effect
Mastodon,Mastodon
Maybeshewill,Maybeshewill
Mayhem,Mayhem
Me And That Man,Me And That Man
Meat Loaf,Meat Loaf
Medulla Nocte & Freebase,Medulla Nocte & Freebase
Megadeth,Megadeth
Melechesh,Melechesh
Melissa Auf der Maur,Melissa Auf der Maur
Melvins,Melvins
Mencea,Mencea
ME PHI ME/Jeriko One,ME PHI ME/Jeriko One
Meshuggah,Meshuggah
Metallica,Metallica
Metallica & DJ Spooky,Metallica & DJ Spooky
Michael Brook,Michael Brook
Michael Kamen And Orbital,Michael Kamen And Orbital
Michael Mann,Michael Mann
Mike Oldfield,Mike Oldfield
Miles Davis,Miles Davis
Mithras,Mithras
Mizmor,Mizmor
Moby,Moby
Moby feat. Patti Labelle,Moby feat. Patti Labelle
Mogwai,Mogwai
MONO,MONO
Monster Magnet,Monster Magnet
Morbid Angel,Morbid Angel
Morbus Chron,Morbus Chron
Motorpsycho,Motorpsycho
Motorpsycho and Ståle Storløkken,Motorpsycho and Ståle Storløkken
Mountains Crave,Mountains Crave
Mount Eerie,Mount Eerie
Muse,Muse
My Chemical Romance,My Chemical Romance
My Dying Bride,My Dying Bride
Myrkskog,Myrkskog
myrkur,Myrkur
N.R.G.,N.R.G.
Nachtmystium,Nachtmystium
Nailbomb,Nailbomb
Nailed To Obscurity,Nailed To Obscurity
Nails,Nails
naisian,naisian
Naked Cousin,Naked Cousin
Napalm Death,Napalm Death
Nasum,Nasum
Nat King Cole,Nat King Cole
Nazi,Nazi
Negative Plane,Negative Plane
Negurã Bunget,Negura Bunget
Negurã Bunget,Negurã Bunget
Negurã Bunget,Negură Bunget
Neil Young,Neil Young
Neil Young and Crazy Horse,Neil Young & Crazy Horse
Neil Young and Crazy Horse,Neil Young + Crazy Horse
Ne Obliviscaris,Ne Obliviscaris
Neurosis,Neurosis
Neurosis & Jarboe,Neurosis & Jarboe
Nevermore,Nevermore
New Keepers Of The Water Towers,New Keepers Of The Water Towers
Nile,Nile
Nina Simone,Nina Simone
Nine Inch Nails,Nine Inch Nails
Nirvana,Nirvana
Nirvana,NIRVANA
Nine Inch Nails,NIИ
NOFX,NOFX
Nonpoint,Nonpoint
Noothgrush/Coffins,Noothgrush/Coffins
Northern Oak,Northern Oak
Nothing,Nothing
Not Waving But Drowning,Not Waving But Drowning
Oathbreaker,Oathbreaker
Obituary,Obituary
Oceans of Slumber,Oceans of Slumber
Octavia Sperati,Octavia Sperati
October File,October File
Of Spire & Throne,Of Spire & Throne
OHHMS,Ohhms
OHHMS,OHHMS
Old Man Gloom,Old Man Gloom
Om,Om
Ommadon,Ommadon
Omnium Gatherum,Omnium Gatherum
On The Surface,On The Surface
Opeth,Opeth
Orange 9mm,Orange 9mm
Orange Goblin,Orange Goblin
Oranssi Pazuzu,Oranssi Pazuzu
Orbital & Kirk Hammett,Orbital & Kirk Hammett
Original Soundtrack,Original Soundtrack
Orphaned Land,Orphaned Land
Ortega,Ortega
Pain Of Salvation,Pain Of Salvation
Pallbearer,Pallbearer
Palm Reader,Palm Reader
Panopticon,Panopticon
Pantera,Pantera
Pantheon I,Pantheon I
Paper Dress,Paper Dress
Paradise Lost,Paradise Lost
Passengers,Passengers
Paul Haslinger,Paul Haslinger
Paul Simon,Paul Simon
paw,Paw
Pearl Jam,Pearl Jam
Eddie Vedder,Pearl Jam - Eddie Vedder
Peccatum,Peccatum
Pelican,Pelican
Pendulum,Pendulum
Periphery,Periphery
Peter Gabriel & Deep Forest,Peter Gabriel & Deep Forest
Pet lamb,Pet lamb
Philip Glass,Philip Glass
"Philip Glass, Allen Ginsberg","Philip Glass, Allen Ginsberg"
Pijn,Pijn
Pillorian,Pillorian
Pink Floyd,PINK_FLOYD
Pink Floyd,Pink Floyd
Pinkish Black,Pinkish Black
Pitchshifter,Pitchshifter
Pitchshifter,Pitch Shifter
Porcupine Tree,Porcupine Tree
Portal,Portal
Power Trip,Power Trip
Primal Fear,Primal Fear
Primordial,Primordial
Probot,Probot
Prodigy & Tom Morello,Prodigy & Tom Morello
Prong,Prong
Protest and Resist,Protest and Resist
Prurient,Prurient
Psalm Zero,Psalm Zero
Psychotic Waltz,Psychotic Waltz
Pulkas,Pulkas
Pyramids,Pyramids
Pyramids With Nadja,Pyramids With Nadja
Queens of the Stone Age,Queens of the Stone Age
Queens of the Stone Age,Queens Of The Stone Age
Queensrÿche,Queensryche
Queensrÿche,Queensrÿche
R.E.M.,R.E.M.
Radiohead,Radiohead
Rage Against the Machine,Rage Against the Machine
Rage Against the Machine,Rage Against The Machine
Raging Speedhorn,Raging Speedhorn
Ramage Inc.,Ramage Inc.
Red Hot Chilli Peppers,RED_HOT_CHILI_PEPPERS
Red Fang,Red Fang
Red Harvest,Red Harvest
Red Sparowes,Red Sparowes
Respire,Respire
Revocation,Revocation
Rivers of Nihil,Rivers of Nihil
