#Movie
Taken
Dune (Original)
#Animated
Family Guy Star Wars Trilogy
The Illusionist
9
The Simpsons Movie
Despicable Me
Garfield The Movie
Kung Fu Panda
Kung Fu Panda 2
Kung Fu Panda - Secrets of the Famous Five
Cars
Cars 2
Ratatouile
Monsters Inc
Monsters University
The Muppet Christmas Carol
The Incredibles
Toy Story 1-3
Toy Story of Terror
Toy Story that Time Forgot
Up
#Anime
Ghost in the Shell
Ghost in the Shell Stand Alone Complex Season 1
Ghost in the Shell Stand Alone Complex Season 2
Ghost in the Shell Stand Alone Complex - Solid State Society
Ghost in the Shell 2: Innocence
Ghost in the Shell - Arise
Broken Saints
Persepolis
Waltz With Bashir
Eden of the East
Voices of a Distant Star
Sky Blue
Jin-Roh
Summer Wars
Paranoia Agent
Hellboy - Sword of Storms
Hellboy - Blood & Iron
Afro Samurai
Afro Samurai - Resurection
Cowboy Bepop Vol 1 - 3
Darker Than Black S1 Vol 1 -3
Darker Than Black S2
#Documentary
Sound It Out
Elstree 1976
Dinosaur 13
Dan Cruickshank - Around the world in 80 Treasures
Dan Cruickshank - Adventures in Architecture
Senna
The Program
Glass - a portrait of philip in 12 parts
Lost in France
Man on Wire
Helvetica
Ai Weiwei: Never Sorry
CitizenFour
The Blue Planet
Frozen Planet
Planet Earth
#Series
The Wire
Battlestar Galactica - The Original Series
Futurama - Seasons 1 - 4
Star Trek Deep Space Nine Seasons 1 - 7
Milennium Seasons 1 - 3
Spooks Seasons 1 - 5
Sliders Season 1 
Sherlock Series 1 - 3
Sherlock - The Abomniable Bride
True Detective Season 1 - 3
Dollhouse Season 1 + 2
Terminator Sarah Connor Chronicles Season 1 + 2
Sons of Anarchy Seasons 1,2 6 + 7
The Killing Seasons 1 - 3
Hannibal Seasons 1 - 3
The Expanse Seasons 1 + 2
Vikings Seasons 1 - 4
Gotham Seasons 1 - 4
Person of Interest 1, 2 + 4
Life on Mars Series 1 + 2
Mr Robot Season 1
Homeland Season 4
Line of Duty Season 3
Utopia
The Bridge
Babylon 5 - The Legend of the Rangers
Babylon 5 - The Lost Tales
Babylon 5 1 - 5
Babylon 5 : Crusade
Babylon 5 : The Movie Collection
Babylon 5 : The Legend of the Rangers
Babylon 5 : The Lost Tales
Babylon 5 : The Road Home
The Shield
Spaced
Terrahawks
The Red Riding Trilogy
Black Books
Treme
Generation Kill
Spiral
American Gothic
Ultraviolet
Levee thing
State of Play
My Name is Earl Season 1
Luther Season 3
Arne Dahl Season 1
The X Files - The Event Series
Black Mirror Series 1 + 2
Chernobyl
Gomorrah Season 1 + 2
Westworld Seasons 1 - 4
The Big Bang Theory 1 - 3
Star Trek Enterprise 1 - 4
Band of Brothers VHS!
24 1 - 8 + Redemption
NUMB3RS 1 - 6
Farscape 1  - 4 + The peacekeeper wars
Firefly
Game of Thrones 1 - 8
Game of Thrones House of the Dragon 1
Battlestar Galactica 1 - 4 + Razer
#BluRayMovie
Under The Skin
Unstoppable
Whiplash
The Witch
The Worlds End
World War Z
Zero Dark Thirty
Zombieland
Zombieland Double Tap
Zero Theorem
007 - All + No Time To Die
Jurassic Park 1 - 3
Bourne 1 - 3
Inception
Interstellar
Iron Man 3
John Wick 1 - 4
Joker
Nope
Us
Get Out
Lamb
Le Mans 66
The Lighthouse
Lincoln
Edge of Tomorrow
Looper
The Lost City of Z
Lucy
Mad Max Fury Road
The Martian
Monsters Dark Continent
Nightcrawler
The Northmen
Oblivion
Pacific Rim
Pacific Rim Uprising
PIG
Platoon
Prisoners of the Ghostland
Prometheus
The Raid
Red Tails
Robocop
Ronin
Rush
Scarface
Scott Pilgrim vs the World
Season of the Witch
The Shape of the Water
Shin Godzilla
Sicario
Sicario 2
Silent Running
Star Trek
Star Wars new crap x 3
Star Wars Rogue One
Star Wars Solo
Tenet
The Thing
Thor The Dark World
Town
Transformers The Movie
Twelve Monkeys
Alien Covenant
Annihilation
Antman
Aquaman
A Quiet Place
A Quiet Place Part 2
Argo
Arrival
Avengers Assemble
Avengers Age of Ultron
Big Trouble in Little China
Blackhat
Black Klansman
Black Widow
Blade Runner 2049
Bridge of Spies
Bumblebee
Captain America The Winter Soldier
Chappie
Cloud Atlas
Cowboys vs Aliens
The Creator
Crimson Tide
The Dark Knight Rises
Dawn of the Planet of the Apes
Rise of the Planet of the Apes
Divergent
Insurgent
Allegiant
Django Unchained
Dune Part 1
Dungeons and Dragons
Elysium
End of Watch
Escape from New York
Ex Machina
First Man
Guardians of the Galaxy 1-3
Glory
The Godfather 1 - 3
Godzilla 
Godzilla King of the Monsters
Godzilla vs Kong
Hamburger Hill
Heat
Highlander
Hobbit 1 - 3
HULK
